POINT ID,EASTING,NORTHING,ELEVATION,DESCRIPTION
656,445581.159,1679232.342,271.934,GP
657,445596.267,1679246.816,269.194,GP
658,445584.044,1679225.463,271.4,GP
659,445582.787,1679219.91,270.896,GP
660,445591.345,1679241.77,270.516,GP
661,445580.366,1679238.847,271.921,GP
662,445662.926,1679223.214,258.856,GP
663,445659.109,1679217.131,260.94,GP
664,445660.897,1679212.476,261.577,GP
665,445660.057,1679207.716,261.984,GP
666,445684.058,1679223.793,260.591,GP
667,445680.568,1679223.267,261.68,GP
668,445681.775,1679218.688,260.354,GP
669,445653.989,1679212.102,262.473,GP
670,445678.276,1679226.333,260.492,GP
671,445649.075,1679208.002,263.823,GP
672,445642.089,1679210.022,262.298,GP
673,445696.143,1679227.496,256.591,GP
674,445694.356,1679231.271,256.467,GP
675,445685.164,1679235.045,257.23,GP
676,445680.065,1679231.515,258.865,GP
677,445670.06,1679209.028,260.844,GP
678,445678.334,1679213.654,260.257,GP
679,445685.623,1679208.277,257.345,GP
680,445678.123,1679208.788,258.448,GP
681,445700.3554,1679223.032,255,GP
682,445615.0656,1679207.365,262.153,GP
683,445622.072,1679210.404,260.614,GP
684,445693.1391,1679216.253,258,GP
685,445690.066,1679238.213,254.639,GP
686,445634.068,1679279.647,244.392,GP
687,445652.428,1679263.044,244.01,GP
688,445663.736,1679250.41,244.474,GP
689,445671.704,1679254.586,244.34,GP
690,445698.224,1679254.041,244.331,GP
691,445693.365,1679254.976,243.415,GP
692,445688.922,1679255.655,243.341,GP
693,445682.202,1679257.76,244.014,GP
694,445675.913,1679258.023,241.967,GP
695,445705.789,1679259.739,244.18,GP
696,445711.547,1679264.373,244.096,GP
697,445713.199,1679296.598,243.609,GP
698,445707.523,1679299.257,243.434,GP
699,445701.926,1679301.223,243.539,GP
700,445697.452,1679303.101,243.651,GP
701,445700.186,1679306.34,245.95,GP
702,445704.145,1679305.671,246.319,GP
703,445710.303,1679302.492,246.049,GP
704,445714.576,1679299.787,245.703,GP
705,445711.945,1679257.92,245.233,GP
706,445708.839,1679256.407,245.242,GP
707,445704.266,1679253.662,244.9,GP
708,445699.155,1679252.232,245.567,GP
709,445696.109,1679231.692,257.039,GP
710,445693.071,1679233.755,257.296,GP
711,445708.4262,1679230.614,250,GP
712,445698.615,1679229.648,256.279,GP
713,445682.114,1679226.601,261.314,GP
714,445773.052,1679298.279,245.191,GP
715,445762.037,1679288.163,244.963,GP
716,445744.455,1679271.727,245.055,GP
717,445731.967,1679269.446,246.089,GP
718,445740.1306,1679305.452,245.569,GP
719,445732.5826,1679277.804,245.679,GP
720,445739.8002,1679268.587,245.439,GP
721,445739.0186,1679279.475,245.259,GP
722,445727.5806,1679261.473,245.939,GP
723,445732.6201,1679253.343,245,GP
724,445726.4597,1679278.564,245.589,GP
725,445724.855,1679283.286,244.769,GP
726,445739.0947,1679292.908,245.199,GP
727,445734.5219,1679285.873,245.119,GP
728,445724.273,1679300.776,245.309,GP
729,445730.5961,1679307.396,245.489,GP
730,445721.0429,1679297.788,245.259,GP
731,445725.7076,1679280.04,245.399,GP
732,445720.084,1679303.782,245.489,GP
733,445717.07,1679247.004,245.555,GP
734,445719.851,1679249.887,245.454,GP
735,445723.733,1679252.902,245.94,GP
736,445728.831,1679258.335,245.791,GP
737,445725.824,1679261.991,246.033,GP
738,445722.221,1679259.876,244.972,GP
739,445718.583,1679255.777,245.113,GP
740,445720.371,1679299.929,245.442,GP
741,445211.911,1679729.636,262.151,GP
